dataset,image,engine,time_sec,text_length,predicted_text
hindi,1.jpg,tesseract,0.301,3,हुए
hindi,1.jpg,easyocr,4.359,0,
hindi,1.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,1.jpg,doctr,1.264,0,
hindi,10.jpg,tesseract,0.15,10,"£ पल उप क,"
hindi,10.jpg,easyocr,1.453,5,> ४८1
hindi,10.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,10.jpg,doctr,1.441,7,- - M16
hindi,12.jpg,tesseract,0.15,8,235 पानी
hindi,12.jpg,easyocr,1.392,4,टपान
hindi,12.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,12.jpg,doctr,1.277,4,e gh
hindi,13.jpg,tesseract,0.09,0,
hindi,13.jpg,easyocr,1.003,4,शाोक
hindi,13.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,13.jpg,doctr,1.326,3,C a
hindi,2.jpg,tesseract,0.141,9,30 0७४३ ९
hindi,2.jpg,easyocr,1.378,3,रकछ
hindi,2.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,2.jpg,doctr,1.403,6,1 t 19
hindi,20.jpg,tesseract,0.193,13,प्रदिनिलेर्या
hindi,20.jpg,easyocr,1.8,12,प्रतिनिघियां
hindi,20.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,20.jpg,doctr,1.571,16,91 - - - o (E/21
hindi,23.jpg,tesseract,0.125,9,छ्ख््गा ।
hindi,23.jpg,easyocr,1.597,7,२६णा| (
hindi,23.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,23.jpg,doctr,1.433,5,- - -
hindi,25.jpg,tesseract,0.159,2,35
hindi,25.jpg,easyocr,1.243,7,१ छात्न
hindi,25.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,25.jpg,doctr,1.427,5,- 0 à
hindi,26.jpg,tesseract,0.111,0,
hindi,26.jpg,easyocr,1.287,6,ज्नद /
hindi,26.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,26.jpg,doctr,1.31,1,J
hindi,28.jpg,tesseract,0.159,9,है. । 58४
hindi,28.jpg,easyocr,1.303,5,नवाला
hindi,28.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,28.jpg,doctr,1.676,21,* - - - - ( - - C O 3
hindi,3.jpg,tesseract,0.122,12,ठिपप्रफी क्‍
hindi,3.jpg,easyocr,1.398,5,प्पणो
hindi,3.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,3.jpg,doctr,1.49,7,A I C I
hindi,33.jpg,tesseract,0.119,0,
hindi,33.jpg,easyocr,1.432,2,पट
hindi,33.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,33.jpg,doctr,1.41,11,C a - - noc
hindi,6.jpg,tesseract,0.093,0,
hindi,6.jpg,easyocr,1.77,7,२| 0% 0
hindi,6.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,6.jpg,doctr,1.313,7,A Hod1d
hindi,7.jpg,tesseract,0.117,0,
hindi,7.jpg,easyocr,0.784,0,
hindi,7.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,7.jpg,doctr,1.381,3,( C
hindi,8.jpg,tesseract,0.125,0,
hindi,8.jpg,easyocr,1.53,2,4^
hindi,8.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
hindi,8.jpg,doctr,1.428,11,- - a a - 1
telugu,1.jpg,tesseract,0.099,0,
telugu,1.jpg,easyocr,2.948,2,?హ
telugu,1.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,1.jpg,doctr,1.563,16,a - - S ea - - 2
telugu,11.jpg,tesseract,0.109,5,లదచే(
telugu,11.jpg,easyocr,0.91,2,డన
telugu,11.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,11.jpg,doctr,1.417,4,2 oN
telugu,12.jpg,tesseract,0.208,14,సుల 6యథఠం య నన
telugu,12.jpg,easyocr,2.356,8,(మదిం ఎం
telugu,12.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,12.jpg,doctr,1.45,15,No Caco 5 - ecs
telugu,15.jpg,tesseract,0.202,8,(సఖ బంత!
telugu,15.jpg,easyocr,2.06,7,(ఎా1.6ఒ
telugu,15.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,15.jpg,doctr,1.499,14,- ( - es 25 8o
telugu,16.jpg,tesseract,0.179,19,(గౌ ము తులలూలవుం తీ
telugu,16.jpg,easyocr,2.366,11,ము ఎంరాంులి
telugu,16.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,16.jpg,doctr,1.451,18,m 55 00 C50 035 es
telugu,17.jpg,tesseract,0.127,6,తీగంటీ
telugu,17.jpg,easyocr,1.515,4,కకగచ
telugu,17.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,17.jpg,doctr,1.38,9,SC 2 Rots
telugu,18.jpg,tesseract,0.173,5,ెలరోయ
telugu,18.jpg,easyocr,1.732,7,ఎె 25(0
telugu,18.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,18.jpg,doctr,1.4,12,3 2 9 Seo0 -
telugu,19.jpg,tesseract,0.124,6,కీందే.
telugu,19.jpg,easyocr,0.928,2,50
telugu,19.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,19.jpg,doctr,1.351,3,- -
telugu,2 - Copy.jpg,tesseract,0.095,0,
telugu,2 - Copy.jpg,easyocr,1.064,3,10డ
telugu,2 - Copy.jpg,paddle,0.001,33,ERROR: Unknown argument: show_log
telugu,2 - Copy.jpg,doctr,1.349,11,C - o OGa -
telugu,2.jpg,tesseract,0.095,0,
telugu,2.jpg,easyocr,1.104,3,10డ
telugu,2.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,2.jpg,doctr,1.4,11,C - o OGa -
telugu,21.jpg,tesseract,0.084,0,
telugu,21.jpg,easyocr,1.421,7,'089' ప
telugu,21.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,21.jpg,doctr,1.544,13,- - J 2 a oes
telugu,22.jpg,tesseract,0.18,8,చ లంటులు
telugu,22.jpg,easyocr,1.941,5,వ 6డ.
telugu,22.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,22.jpg,doctr,1.484,15,231 - 5 olaso €
telugu,4.jpg,tesseract,0.172,1,క
telugu,4.jpg,easyocr,1.617,6,నిగ టు
telugu,4.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,4.jpg,doctr,1.413,10,Cs 21 0. C
telugu,5.jpg,tesseract,0.169,11,ఎతాచోటన న్న
telugu,5.jpg,easyocr,1.644,10,లనెదౌనిమ్ై
telugu,5.jpg,paddle,0.001,33,ERROR: Unknown argument: show_log
telugu,5.jpg,doctr,1.458,11,P 3 Crs & a
telugu,6.jpg,tesseract,0.16,10,గాజ్బమ్టైన
telugu,6.jpg,easyocr,1.475,6,గషైన ం
telugu,6.jpg,paddle,0.0,33,ERROR: Unknown argument: show_log
telugu,6.jpg,doctr,1.271,10,noc 2n0273
english_scanned,82092117.png,tesseract,0.581,1304,"AIT. GEN, ADMIN, OFFICE Fax:614-~466-S087 Dec 10 '98 17:06 P.Ot  EAA Attomey General  CONFIDENTIAL FACSIMILE TRANSMISSION COVER SHEET  FAX NO, (614) 466-5087  TO: _George Baroody FAX NUMBER: __(336) 335-7392 _ PHONE NUMBER: (336) 335-7363  DATE:  1210/98  NUMBER OF PAGES INCLUDING COVER SHEET: 3 SENDER/PHONE NUMBER: ___June Flynn for Erie Brows/(614) 466.9980  ‘SPECIAL INSTRUCTIONS:  You. OF OP} ELEASE CONTACT SENDER AS: LE  ‘THIS MESSAGE IS INTENDED ONLY FOR THE USE OF THE INDIVIDUAL OR ENTITY 7O| WHOM IT IS ADDRESSED AND MAY CONTAIN INFORMATION THAT IS PRIVILEGED, | CONFIDENTIAL, AND EXEMPT FROM DISCLOSURE UNDER APPLICABLE LAW. If the] reader of this message isnot the intended recipient of the employee or agent responsible for delivering | the message to the intended reciplent, you are hereby notified that any dissemination, diseibuson, copying. or conveying of this communication in axy manner is strictly prohibited. ""If you. ave} received this communication ia eror, please notify us immediately by telephone end feaura the} criginal message to us at the address below via the USS. Postal Service, Thank you for your  _coopéfatoa.  ‘State Office Tower / $0 East Broad Sireet / Columbus, Ohio 43215-9428 wwwag.state.oh.us ‘An Equal Opportunity Employer  LL LZ6028  Dorian on enratod reper"
